,comments,date
72,"$PANI






PANI lovers, sampai hari ini, Laporan Keuangan PANI per tanggal 30/9/2022, belum selesai di audit, dan masa berlaku Laporan Keuangan yang dipakai sebagai dasar corporate action berupa penerbitan obligasi ataupun rights issue, adalah 90 hari, yang akan jatuh tempo 31/12/2022 . Adapun corporate action harus mendapat Persetujuan Pemegang Saham melalui RUPS , tapi sampai hari inipun, belum ada rencana RUPS PANI. Sedangkan waktu untuk RUPS dan corporate action di bulan Desember 2022 hanya sisa 16 hari kerja. Tapi tidak ada yang mustahil bagi PANI. Tetap semangat💪","8 Dec 22, 11:35"
73,$PANI saatnya cicil cicil 😁,"8 Dec 22, 10:24"
74,"$EURO-W Senggol Dongg... 😂 😂

saatnya nambah muatan di $PANI

gak ngajak beli & jual
duit masing2
riset masing2","8 Dec 22, 10:22"
75,$PANI wadouww bad day lagi 😭😭😭,"8 Dec 22, 09:53"
76,$PANI iris pelan2 biar pede yg nyangkut sampai tembus 800?,"8 Dec 22, 09:47"
77,Laporan Bulanan Registrasi Pemegang Efek [PANI],"8 Dec 22, 09:10"
78,$PANI waow,"8 Dec 22, 08:32"
79,"menarik...OK masuk Top 3 Buyer, OK akum terus $PANI gak jual, knp? apkh krn terafiliasi dgn Salim Grup? apakah hari ini 10.089 di bid buy harga 965 hanya 2 hit asumsi 2 org & menggunakan OK? gak tau juga...

sekilas nulis2 akum & distribusi GR :

Buy GR 15 Nov sd 07 Des

29 Nov 169jt avg 1036
18 Nov 313jt avg 1173
24 Nov 907jt avg 1222
7 Des 822jt avg 953

Sale GR 15 Nov sd 07 Des

1 Des 398jt avg 1014
2 Des 131jt avg 1015
6 Des 94jt avg 986

tuker2an barang antar sekuritas? bisa terjadi.
Asal pernah akum & pernah distribusi

jika full akum & tdk ada distribusi, apkh berarti mmg sdg ngumpulin barang?

kite liat besokk...mulai seruu krn muncul OK sbg Top 3 Buyer","7 Dec 22, 18:19"
80,masih bakal turun jauh inii $PANI,"7 Dec 22, 16:26"
81,$PANI menarik 🙂,"7 Dec 22, 15:43"
