,comments,date
594,"koh @andryhakim ,koh @dglsgh $PANI 🚀🚀🚀","4 Nov 22, 13:39"
595,sesi 2 $IPPE $PBRX $PANI,"4 Nov 22, 13:23"
596,"RAHASIA JITU SCALPING
( Perlahan perlahan akan saya bahas )

Hal utama yang harus diperhatikan sebelum melakukan scalping ialah :
1. Saham nya rame dan sedang hijau
2. Kenaikan harga sahamnya tidak lebih dari 10% agar aman tidak kena guyuran
3. Perhatikan Averages Transaksinya


Nah contohnya ada di gambar ini,saya pakai RTI BUSINESS untuk aplikasi tambahan,selain memantau runing trade dan order book,membaca Price Voume Frequency itu juga perlu loh.

Tujuannya untuk apa?
Biar kalian tahu,transaksi terbesarnya ada diharga berapa,jika transaksi besarnya ada diharga bawah dan harga sahamnya sudah naik 10% keatas dari averages transaksi hariannya ya resiko kita kena guyur.

Contoh gambar dibawah ini
Volume transaksinya besar di harga atas yakni harga 129-134 dan averages rata rata transaksi hariannya berada dikisaran harga 131,sedangkan sahamnya sekarang berada diposisi harga 132,nah disitulah kesempatan kalian untuk masuk karena apa? Probabilitasnya tinggi untuk naik lagi,karena tentunya jika ada transaksi besar maka sang bandar juga ingin cuan dan juga distribusi,caranya gmn? ya harus markup harga.

Bagaimana strategi untuk masuknya?
Kita bahas di postingan berikutnya....
Stay tuned!","4 Nov 22, 13:07"
597,"Mulai bulan ini ga ada lagi yang namanya jual merah.

$BUMI $SICO $JKON $PBRX $PANI","4 Nov 22, 11:40"
598,"Siang hari ini kami akan mereview saham $PANI
Namun sebelum masuk ke previewnya , kami ucapkan happy cuan bagi yang bergabung di private channel mimin dengan total FP senilai +31% .

Mari kita kembali ke topik pembahasan , sesi ini saham PANI close bullish senilai +16,16% di harga 1150 . Dari sudut pandang teknikal , saham ini hari ini sukses breakout dari resistance fibonaccinya di harga 1045 dengan rate 50% , asumsi saat ini saham PANI seharusnya mengejar target selanjutnya dari fibonaccinya yaitu rate 61,80% di harga 1270 , namun masih di halangi oleh resistance dinamisnya di area 1185 .
Kenaikan di saham ini juga di dukung oleh domestic yang melakukan nett buy senilai +2M dan asing +2M dalam seminggu terakhir .

Sebelum masuk ke How To Trade kami mengucapkan happy cuan dengan rekap trade hari ini sebagai berikut
04/11/2022
1.TKIM : +18% / 4%
2.INKP : +42% / 4%
3.SMDR : +4%
4.PANI : +32%
5.DSNG : +8%

Top Bagger Creepy
1.PNBN : +271%
2.PNLF : 111%
3,MEDC : +111%
4.CLEO :+50%
5.MBSS : +71%
6.HOMI : +54%
7.KRYA : +200% /34%
8.INCO : +40%
9.BUMI :+300% (CLOSE TRADE)
10.PGAS : +40-27%
11.AKRA : +111% / +20/7%/43%
12.BMRI : +43%
13.BBNI : +32%
14.BBCA : +25%
15.AKRA : +73%
16.INKP : +42%
17. FILM : +300%
18.KIOS : +94%
19.RMKE : +171%

Bagi yang ingin bergabung silahkan bisa japri atau klik link berikut ke channel telegram mimin : (100%) FREE .

Lantas How To Trade ???
Cara tradenya sebenarnya akan sangat beresiko , dan lebih baik di skip .
Dengan asumsi Entry untuk scalping dengan menunggu koreksi di area 1045 atau menunggu breakout 1185 , untuk targetnya sendiri akan berada di area 1270 .

DISCON DYOR

NOTES : Lakukan riset secara mandiri terlebih dahulu sebelum melakukan tindakan aksi jual beli , catatan ini hanya sebagai alat / tolak ukur sebagai tindakan asisten yang membantu dalam mengambil keputusan tapi tidak dalam membuat keputusan .
Kepastian hanya berada di tangan masing masing dengan resiko dan ketetapan yang juga di atur oleh pribadi yang bersangkutan .

Terimakasih telah terus bersama mimin selama ini dengan total Followers dan verified badge baik untuk stockbit dan telegram , dan terimakasih sebesar besarnya untuk keluarga mimin yang tergabung dalam creepyvesment private maupun creepystocks .Untuk rekap trade selengkapnya bisa di lihat melalui link berikut
info selanjutnya silahkan bergabung di channel telegram kami di link berikut :

(100%) FREE

Di dalam di sertakan rekap trade yang sebenarnya baru di rekap walaupun sejauh ini creepy sudah berdiri kurang lebih 1 tahunan dengan posisi FLOATING TERTINGGI 70-90% akurat
Terimakasih sudah mendukung mimin selama ini dengan niat membantu kamu

SLIDE GAMBAR UNTUK MELIHAT CHART","4 Nov 22, 11:36"
599,"$PANI yang punya PANI pas naik jgn terlalu hype, pas turun jgn terlalu stress, just enjoy 😎😎 😎

tetep entry pake Money management 😁","4 Nov 22, 11:25"
600,"happy cuan $PANI, jumat berkah 16%, alhamdulillah","4 Nov 22, 11:23"
601,"PEDAGANG SAHAM 🌿
BUKAN PEDAGANG GRUP PREMIUM 💕

Namanya pedagang, jualan ga harus selalu cuan gede kan?
kadang ya cuan ratusan ribu, kadang jutaan.
dan semua tercatat di dalam catatan kayangan milik kerajaanku 🤣.

Cuan gede tentu pernah.
tapi ga selalu, tak seperti influencer artis saham yg kalo pompom sambil nunjukin portofolio cuannya ratusan juta, miliaran dan rasanya kok semua saham yg ada diportonya jadi cuan gede semua 💕.

kalo soal cutloss gausah ditanya, uda sering ku ceritain.

cari cuan ini lho yg jadi tantangan tuh.
abis beli saham, eh nyusruk.
abis nyusruk masih dihajar prosesi sideways.
1 bulan kemudian baru jalan.
masi enak klo sebulan jalan, lha kalo berbulan2 apa ga kontraksi dan kejiwaanku terguncang 🤣.

contoh nyata yg baru terjadi, jadi kisahnya masih fresh dam uda ku tulis.
soal saham ESSA yg ku beli dari 1170 diseret sampe 900.
gimana ga tertekan jiwa kemanjaanku hahaha.
nahan siksaan sebulan ada tuh, ato malah lebih.
lha belinya sebelum LK rilis.
begitu LK rilis, naik bentar lalu remuk lagi.
ya baru sekarang ini jalan.

kenapa kisahku berbeda dengan para artis stockbit yg baru beli saham, lempar mejikom balik jadi HRV.
kok aku ama koko lempar CRV balik malah jadi motor rongsokan.
🤣🤣🤣🤣🤣

apalagi yg di Stockbit bisa cuan Miliaran,
cuan ratusan persen, cuan ribuan persen.

aku pernah juga cuan besar ratusan persen,
tapi itu tak perlu dipamerkan.
pamernya kisah drama kegondokan batin aja 🤣.

tengoklah beberapa lembar catatan kitab kayangan ini.
belom ada seujung kukunya portofolio para artis saham yg punya grup premium.
yg cuannya selalu konsisten.
ribuan persen.
minimal ratusan persen gitu.
dan konsisten cuan luber melimpah, ga cuman koper-koper.
ku rasa mereka itu pada jadi nasabah prioritas di semua Bank yg ada di negara kita.
lha cuannya aja ribuan persen.
belom lagi duit SPP dan Uang Gedung dari member.
eh belom lagi kalo ngadain seminar yekan.

Happy Friday 🌿🌿🌿🌿
salam.sayang dari aku yg hari Jumat nya masih super sibuk ngurusin berbagai hal demi menjaga kestabilan kemanjaan duniawi.

random tag biaf manjalita ulala","4 Nov 22, 11:18 · Edited on 4 Nov 22, 11:23"
602,$PANI Pumpung masih diskon yok serok otw 2000🚀,"4 Nov 22, 11:15 · Edited on 4 Nov 22, 11:16"
603,$PANI,"4 Nov 22, 11:00"
604,"$PANI dapat info mau dikerek ke 15 000 , aku pilih blok c","4 Nov 22, 10:59"
605,"HOLDERS PANI di bawah 850 mana suaranya ☺️
.
INGET,, jgn nambah pas ARA😂.
Yg nebar fear saat ARB berjiilid2 banyak sekali .

pahami apa yg kamu beli, jangan ikut ikutan orang yg ngasih harapan.😂

holders always win 💎👑.","4 Nov 22, 10:50"
606,"$PANI kalau Hijau trus, dipuja puja. kalau Merah trus dihina hina. 🤭🤣🤣 Holders always win 💎💎","4 Nov 22, 10:41"
607,"$PANI angkatan 890 mah selow...slebew...mau diangkat yuk mau diturunin yuk,,..candaaa...😁","4 Nov 22, 10:35"
608,$PANI in aguan we trust wekeke,"4 Nov 22, 10:29"
609,$PANI Ahahahahahahahahahahahah I Am So Happy Today 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,"4 Nov 22, 10:27"
610,"kita bicara hype dan technical view nya dulu deh... (sebelum bicara go ceng)...

$PANI MA50 nya di berapa?
Jangka pendek (less than 1 year) harus bisa bertahan di atas MA50 sekarang dulu deh... baru pikirkan 2K... 5K... 10K...

Goodluck PANI lovers ✌","4 Nov 22, 10:22"
611,$PANI cuan ..cuan ..cuan .. makasih om bandar hohohoho akum lah di saat kepala 800 jual lah klo udah diatas 1000 hohohohoho,"4 Nov 22, 10:06"
612,"kalo $PANI tembus 1150, bakal ARA domininannya 🚀🚀🤲🤲","4 Nov 22, 10:02"
613,$PANI ahahahahahahahah happy happy today 🤣🤣🤣🤣🤣🤣🤣🤣,"4 Nov 22, 09:56"
614,$PANI gak mau sombong dulu.......masih jauh dari 2000........dinikmati saja perjalanannya.......yang pasti akan saya tunggu semoga dugaan saya ada right issue jilid selanjutnya untuk masukin lebih banyak area PIK 2.......,"4 Nov 22, 09:55"
615,$PANI 🎁🎁🎁Ahahahahahahhahahahahahahahah 🤣🤣🤣🤣🤣🤣🏆🏆🏆🏆🏆🥰,"4 Nov 22, 09:45"
616,haka $PANI,"4 Nov 22, 09:43"
617,Siapa yang kemarin berani bilang jelek? 🐉 $PANI,"4 Nov 22, 09:42"
618,$PDPP dan $PANI 🐉,"4 Nov 22, 09:41"
619,Nah loh 🐉 $PANI,"4 Nov 22, 09:37"
620,$PANI mulai dah ugal2an supirnya wkwkw,"4 Nov 22, 09:33"
621,"@dglsgh sudah saatnya kembali manggung $PANI , setelah sekian lama 🤣","4 Nov 22, 09:32"
622,$PANI balik 4 digit 👍🏻,"4 Nov 22, 09:29"
623,$PANI otw 2000 nih 🥳🥳,"4 Nov 22, 09:29"
624,"jaraaanggg pamer bukan berarti gak bisa jadi scalper, sold $PBRX

kalo $PANI hold keras, dibawa turun ke 800-880 beli, kalo naikk ya tahan.

#nantihijausendiri
#ngopidulu","4 Nov 22, 09:28"
625,"$PANI , jika memilih-mu adalah sebuah KESALAHAN, maka AKU RELA menjadi salah dan SELALU DISALAH-SALAHIN MULU asalkan cicilan Tanah Kavling Rp. 184 juta per-bulan di PIK 2 bisa Kau bayar tepat waktu dengan CUAN ijo-mu yang selalu aku tunggu sampe Halu.... 😀😀😀
Sungguh, Aku rela PANI !! Thanks to Bandar, Happy Friday, Happy Cuan, Mingkem dan
tetep : iri ?? Bilang $BOSS","4 Nov 22, 09:24 · Edited on 4 Nov 22, 09:25"
626,"$PANI Yeahhhhh.. 🚀

who loves $PANI raise your hands 🙌🏻","4 Nov 22, 09:11"
627,"Trading idea : $PANI

Menarik jika mampu break 1.025

10-15% dapetlah

Saham lainnya cek di https://bit.ly/3L3IIyk","4 Nov 22, 08:49"
628,Kemarin beli di 900. jual nya kecepatan 😅. Otw haka lagi $PANI 🚀,"3 Nov 22, 22:32"
629,besok HIJAU ROYO2 $PANI 😎,"3 Nov 22, 20:24"
630,$PANI JAYA JAYA JAYA,"3 Nov 22, 20:04"
631,$PANI kalian.milih rumah di blok mana kalo ke 15.000 bulan.desemner ? aku di nlok B ya,"3 Nov 22, 19:17"
632,Wiii $PANI ada BK YP MG dan AK. Hmmm bakal seru nih besok. Cuzz besok haka 10 lot,"3 Nov 22, 19:03"
633,"POLL
$HDIT akan menjadi... $FIRE 🔥 $PANI🥫
$IHSG 🐂","3 Nov 22, 18:56"
634,"@AnthonyLyono aduh aduh aduh...
$PDPP banyak berita bagus...
Yth Mr. Aguan sebagai investor strategis ini sudah 'terkenal' master-nya (tim-nya) pembuat harga saham multi bagger meroket dalam tempo beberapa minggu saja...

Siapa cepat siapa dekat dia yang dapat...

$PANI $TMPI $INPC 'tangan dingin' sang master...","3 Nov 22, 17:58"
635,hmm i smell money in $PANI 🤑 LK nya sepertinya bagus,"3 Nov 22, 17:51"
636,"Tadi yang jualan $PANI 40,000 lot gak niat, baru sempet comot beli dikit malah dicabut 😪


*disclaimer on tidak ada ajakan jual/beli.","3 Nov 22, 17:43 · Edited on 3 Nov 22, 18:37"
637,"@damianbp beda grup bro, kalau agung sedayu mah $PANI","3 Nov 22, 17:12"
638,$PANI wuih asing masuuuk,"3 Nov 22, 16:50"
639,"$PANI Besok lanjut ndar, diem2 bae ijo mulu ah 😎 😎

$BUMI $ITMG $BACA","3 Nov 22, 15:23"
640,"$PANI bentar lagi laporan keuangan keluar, baguss 😁","3 Nov 22, 15:11"
641,"Fokus pada yg kamu beli.
abaikan fear di market.
entah kapan lagi bisa dapet momen nyerok di 800 😂.
.
Holders always win 💎👑

$PANI","3 Nov 22, 15:00"
642,$PANI kemungkinan di tarik naik,"3 Nov 22, 14:43"
643,"$PANI untuk para scalper boleh cari emiten lain yang ada volumenya (lebih liquid), hati"" nyangkut kalo mau main disni","3 Nov 22, 14:26 · Edited on 3 Nov 22, 14:27"
644,$PANI mantap jebol 935🔥,"3 Nov 22, 14:19"
645,"@jusniar bukan jebol ngab, bid puluhan ribu lot dicabut 🤣 $PANI","3 Nov 22, 14:15 · Edited on 3 Nov 22, 14:16"
646,"@Saba1974 Ciri2 saham mau terbang,, terlihat di bidi 930 ,, walaupun banyak yg buang barang tetep di tampung dan di isi..
menarik sekali melihat tanda-tanda ini.
king $PANI👑💎","3 Nov 22, 14:10 · Edited on 3 Nov 22, 14:39"
647,"$PANI shoot for the moon, even if you miss you’ll land among the stars.

Time frame: less than 1 year","3 Nov 22, 14:07"
648,$PANI wuih 935 dikasih tembok beton🙃,"3 Nov 22, 14:01"
649,"$PANI $PDPP deg deg ser ara 1 bulan

pompomannya ngeri

dyor


tag random: $BUMI $GOTO $ITMG","3 Nov 22, 14:01 · Edited on 3 Nov 22, 14:06"
650,$PANI akankah HR ini closing ijok lagi.??☺️,"3 Nov 22, 13:38"
651,"$GZCO
Hitungan waktu pendek naik dulu waktu panjang?!!! Masih menunggu ......GZCo ada yang menarik,breakout Nick line,CNH,bull engulfing, volume, divergence

""Risiko datang dari tidak mengetahui apa yang Anda lakukan."" dan ingat “Kita tidak harus lebih pintar dari yang lain. Kami harus lebih disiplin daripada yang lain.”,....Berdagang itu selalu memakai strategi dalam mencari peluang,... strategi dalam menangani risiko,...strategi dalam mengelola emosi dan pola pikir, serta strategi dalam menjalankan keuangan,...lihatlah bersama profil kita penuh persaudaraan dalam Cuan Barokah","3 Nov 22, 05:30 · Edited on 3 Nov 22, 05:33"
652,"$PANI wah om BK udh masuk, tanda2 apakah gerangan? 😏","2 Nov 22, 23:18"
653,"$PANI
pede aja lah yah dulu 😂🤣

inget cuman analisa pribadi, klo salah uang gw yang ilang bukan kalian. jadi jgn hujat hujat 🙏🙏🙏

( Time Horizonnya juga blum tentu 1 tahun yah )","2 Nov 22, 15:49"
654,setelah kurleb 3 bulan baru 3 HR ini yah $PANI bs sampe ijok 3 hari berturut turut meski cuman sedikit kenaikannya😂..biasanya ijok sehari doang merah min 4 hari selanjutnya...duh ada apa gerangan $PANI nih?? mw kasih panick attack kah dr LK Q3 nya? wkwkk,"2 Nov 22, 15:31"
655,$PANI kenapa gerakan mu skr lambat pani???,"2 Nov 22, 14:02"
656,"$OMRE hari ini ARA, ada plan mau RI. Om Salim sudah borong $OMRE

jd teringat $PANI yg dulu RI dan ada Om Salim bersama ASG

industry keduanya juga property.

apkh ini pertanda industry property mulai menarik ..? 😎😎

#nantihijausendiri","2 Nov 22, 12:17"
657,"@dglsgh biasanya kalo momen seperti ini harga di bikin bosan gak kemana2.. pengalaman dari masa lalu laporan keuangan perusahaan ini keluar saat di sesi 2.
adapun tgl berapa nya kita nanti kan saja.,

$PANI","2 Nov 22, 10:23"
658,Bosen nungguin LK Q3nya $PANI 🤣,"2 Nov 22, 09:34"
659,$PANI moga hit 1000 today,"2 Nov 22, 09:30"
660,$PANI liat freq nya.... beli sendiri jual sendiri 🤣 kasian amat ndar,"2 Nov 22, 09:17"
661,"hari selasa 1 Nov $PANI di detik terakhir, 15 detik sblm closed dari 895 ke 905 suka loncat tipis, gak jadi merah. hari senin 31 Oct $PANI detik terakhir, 10 detik sblm closed dari 895 ke 900 loncat tipis, gak jadi merah. 😆 haha 😆
biarkan meliuk liuk naikk turunn..

lirik yg gocap baru bangun & ARA aja ahhh $MDIA

#nantihijausendiri","1 Nov 22, 15:01"
662,$PANI mulai cicil cicil 😊☺,"1 Nov 22, 14:52"
663,$PANI kalo laporan keuangannya keluar kira kira apa aset nya ASG sdh dimasukin ngak ya? kira kira laba berapa ratus persen ya....,"1 Nov 22, 14:22"
664,$HRUM $INDY $PANI lambat bener nih LK nya..wekeke,"1 Nov 22, 10:44"
665,"Awas jgn ketinggalan..
Siapkan muatannya gaes.
jgn nambah pas udah Ara yaa.
.
menghitung hari,,💰💰

$PANI","1 Nov 22, 10:38"
666,"$PANI otew 12 000 , beli langsung blok B guyss","1 Nov 22, 10:11"
667,"$PANI skrg loncat nih, ntar sesi 2 turun lagi","1 Nov 22, 09:54"
668,"$PANI terlihat aroma bulissh , duduk santai sambil mikir ambil blok mana di PIK 2","1 Nov 22, 08:39"
669,"$APLN udah profit LK Q3, under value lagi. Mending main di APLN lagi pesta daripada tungguin di $PANI 🧐","1 Nov 22, 05:04 · Edited on 1 Nov 22, 05:21"
670,"@charlescharles $PANI bandar anak magang, dikiranya ritel bodoh ga bisa baca running trade, polanya sdh terbaca 2 bulan kebelakang, tinggal ampasnya skrg secara gorengannya sdh beres, dan skrng minyak nya masih luber di pasar, belum di keringin..","31 Oct 22, 18:38"
671,"$PANI seperti biasa guys dalam seminggu ijonya hanya sehari, sisa 4 hari merah. begitu polanya, paling banyak ijo 2 hari itupun jarang, paling sering ijo 1x seminggu. 🤣","31 Oct 22, 14:33 · Edited on 31 Oct 22, 14:34"
672,"$PANI yukk mudah2 an Ara ya guys , aroma nya ada sihh","31 Oct 22, 13:30"
673,"$PANI kalo beli di harga sekarang nanti ke 12 ribu lagi , berarti kita bisa dapat rumah di pik 2 guys","31 Oct 22, 12:47"
674,$PANI uptend menuju 5000,"31 Oct 22, 10:13"
675,"gimana ini $BOSS?
jadi $PANI k
eror melulu","31 Oct 22, 09:09"
676,"ASG backdoor listing di $PANI bukan mencari dana dari ritel2.

Right issue sekitar 6.5 T, mereka sendiri yg tebus 5.8 T di harga 500.

Plannya sepertinya utk dijual ke investor gede tapi dari jalur nego.","30 Oct 22, 11:52"
677,"$PANI

Fyi, investasi di saham PANI, harus menggunakan dana sendiri karena investasinya jangka panjang, hal ini disebabkan oleh luasnya proyek Pik 2. Untuk mendanai proyek yang luas tersebut pasti membutuhkan dana yang banyak , dana ini akan diperoleh dari rights issue terus menerus. Kalau rights issue kemarin, harga saham PANI sempat naik ke 12 ribuan, bisa bayangin, ngga, saham PANI bisa terbang ke harga berapa? . Tetap semangat💪","30 Oct 22, 11:12"
678,$PANI Coba jelaskan di komentar saya ini .. APA ALASAN ANDA HOLD PANI UNTUK JANGKA PANJANG ?,"30 Oct 22, 09:46"
679,"@udinira Drastis atau enggak, tergantung rasio dan harga penebusan Rights Issuenya (beda setiap kali).

Semakin gede rasio-nya (kyk $PANI kemarin rasio 1:32), makin gede delusi-nya (PANI dari 12,800 hari Senin 8 Aug, Selasa langsung 845).","29 Oct 22, 13:05 · Edited on 29 Oct 22, 13:06"
680,$PANI laporan Q3 pani kapan woiiiiiii ..klimaks juga,"29 Oct 22, 12:37"
681,"@redmie iya ya psp $ARKA memang pandai dagang, bukan cm jasa modif dan fabrikasi tapi lihai juga dagang sahamnya ndiri. gak akum kayak psp

$PANI
$UNVR
$BYAN
$GOTO

makanya klo harga arka tidorr ya wajar. yassalam","29 Oct 22, 05:10 · Edited on 29 Oct 22, 05:10"
682,"IPHONE, EMAS DAN SAHAM
=========================

Hai teman teman stockbitor? bagaimana keadaan porto hari ini? udah mulai bullish? atau justru makin nyungsep? hehehe,, santai, akan selalu ada pelangi setelah hujan, pesan mas @ricky2212 kepada saya beberapa Minggu yang lalu saat IHSG nyungsep akibat isu resesi reseso. 🤭


udah mau akhir tahun aja nih, apakah porto udah mulai relly? kebetulan saya sambil makan bakso, yuk mari kita putar mundur ke belakang.
Seandainya Tahun lalu, anda punya cash 20jutaan anda kepengen membeli iPhone 12 pro max harga terendah dikisaran 20,5 jutaan. tapi disaat yang sama anda pengen tambah tabungan LM dan kepengen beli Saham .

Bagaimana cara mengambil keputusan untuk memilih salah satu dari 3 pilihan tersebut?

1. apakah iphone saat itu kebutuhan atau keinginan?
2. emas mempertahankan nilai bukan menambah
3. belajar analisa saham dan sabar

artinya jika hari ini harga iPhone tersebut di kisaran paling rendah 17,5 jt turun harga sekitar 14 %. second dibandrol dengan harga 10-12jutaan tergantung kondisi. jika tahun lalu anda membeli iPhone dan menjual hari ini maka nilai aset anda berkurang lebih dari 50% an.

jika saat itu anda membeli emas diharga 910rb sebanyak 20gram (18,2juta) dan menjual hari ini diharga 874rb (17,5juta) maka aset anda berkurang
sebesar 3,8 %.

dan ketika anda membeli saham SMDR diharga 600an/lembar sebanyak 300 lot. per hari ini aset anda bertambah 250% lebih. hanya dalam waktu setahun justru anda bisa beli iPhone terbaru saat ini sebanyak 3 iPhone

Dari cerita saya diatas, yang kentara itu adalah kekuatan compounding interest itu nyata. belajar itu harus, analisa mandiri itu wajib, sabar dan menunggu itu penting, conviction itu yang utama.

Bagaimana cara mengetahui analisa kita mendekati benar atau tidak? sangat gampang, jika analisa suatu saham itu benar dapat dilihat dari return secara jangka panjang. l

Selamat malam selamat bersantai di akhir pekan bersama orang orang tercinta 🙏






saham diatas hanya sebagai contoh Bukan ajakan jual atau beli. selalu analisa mandiri sebelum membeli/menjual saham","28 Oct 22, 20:21"
683,"$PANI tolong para sekuritas ini PANI sudah di 3 bidang usaha.. pembuatan kaleng , pengolahan perikanan dan 1 lagi yg belum di tambahkan yaitu bidang properti jadi agar lebih byk peminat .. keterangan perusahaan tolong di ubah di tambahkan properti juga .. colek @stockbit","28 Oct 22, 18:28"
684,$PANI berharap ya,"28 Oct 22, 18:06"
685,$PANI mencekam,"28 Oct 22, 16:00"
686,"$OASA Right Issuenya menarik
-Ratio right: 1:12(old:new)
-Harga pelaksanaan: Rp100 per lembar
-Dana yang dihimpun:Rp430 Miliar
-Tujuan dari RI: untuk akuisisi dan modal kerja
- PT International Labuan Resources sebagai Pembeli Siaga akan mengambil bagian sebanyak-banyaknya 1.936.200.000.

Right issue $OASA ini memiliki pola yang mirip dengan RI pertama $ARTO $BBHI . Perhatikan bagaimana pergerakan harga setelah surat efektif dari OJK sudah keluar.
Surat efektif RI dijadwalkan keluar di hari senin nanti (31/10). Semoga to the moon!
*Disclaimer On, DYOR","28 Oct 22, 15:27"
687,"$PANI UANG mencintai Orang yg SABAR
PANI mencintai Investor yg SABAR

Yg masih HOLD PANI sampai sekarang kasi like post ini jadi tau berapa jumlah INVESTOR yg masih HOLD colek ko @andryhakim","28 Oct 22, 11:52"
688,"segera rilis Laporan keuangan...
dag dig dug ,,,

holders always win 💎👑

$PANI","28 Oct 22, 11:26"
689,"$PANI Wuih IF ngak jual2lan juga,,padahal udh banyak yg minta dinaikin harga nih saham🙃","28 Oct 22, 10:56"
690,"Haloo spadaaaa......
numpang nanya $BOSS, ini kenapa ya mereka KOMPAKAN merah dihari Jumat?
Kalian janjian mau weekend bareng ya.... ngaku hayooo ngaku ... 😀😀😀

#Bandar said : beuhh....Diem lu bawel !!
$PANI $BNBR $PNIN $OBMD","28 Oct 22, 10:55"
691,apakah $PANI akan bernasib seperti $BBKP setelah RI?,"28 Oct 22, 10:30"
692,$PANI saya doa kan sehat selalu dan sukses selalu utk bandar PANI yg bisa bawa PANI ke 2000,"27 Oct 22, 22:44"
693,$PANI ngak ada pingin reabond kek sekali?,"27 Oct 22, 20:11"
694,"Kawasan mana yg bisa meledak tuh ?

https://cutt.ly/TNhSx4E

random tag : $PANI","27 Oct 22, 19:22"
695,$PANI mau pakai lagu unstopable apa pampedak nih gan ?,"27 Oct 22, 14:39"
696,"$PANI Sepi amat neh....hadeuh bosen juga ya ... 😆😆😆
miss my sparring partner @Stockbit User 🔥 ... 🤩 really miss you bro...🤪
Ga ada lu Ga rame bro..","27 Oct 22, 13:24 · Edited on 27 Oct 22, 13:24"
697,@gilberthan $KICI apa $PANI nih kak(?) 🤐,"27 Oct 22, 09:58"
698,$PANI angkatan 1200 masih aman?,"27 Oct 22, 09:06"
699,"@Yudhi123 gk notice saya sama $PANI bg, baru tau soalnya hehe 😁","26 Oct 22, 21:02"
700,ntar kayak $PANI lagi,"26 Oct 22, 19:38"
701,"@Etobing wkwkwk betul itu. kalo udah kaya ga mungkin ada waktu buat ngetik panjang lebar buat nyari followers. Satu lagi kalo yg pamer ss milyaran jangan mudah percaya wkwkwkwk itu gampang diedit lohhh kecuali dia berani tampil didepan kamera bawa lambo McLaren ferari pamer rumah gede itu baru beneran kaya belvin atau john hens atau andry hakim wkwkwk
$BUMI $ITMG $PANI $BOSS","26 Oct 22, 19:36"
702,$PANI support ko @andryhakim .. PANI bid tebal2 ..ask tipis2 .. tinggal tunggu bandar masuk senggol biar ARA .. semoga PANI bisa kembali berjaya di atas 1000an selalu .. yg ada modal tolong di UP .. saya HOLD keras PANI .. yg lain HOLD PANI semoga ke 2000 ...,"26 Oct 22, 11:49 · Edited on 26 Oct 22, 11:50"
703,$PANI hit,"26 Oct 22, 09:06"
704,"Sudah di info kemarin hari cuan kotos2 😁😆 RESESI RESESI ktanya tapi kita nyantay nikmati cuan 🤩
$BBKP hit 11%
BACA hit 10%
$BVIC hit 12%
BGTG hit 5%
BCAP 3,5%
BABP 4,5%

tag","25 Oct 22, 16:39"
705,$PANI gila lo ndor,"25 Oct 22, 14:14"
706,"$PANI bandarnya udh gk ada, yok yg mau jadi bandar2an dipersilahkan HAKA!!!","25 Oct 22, 10:09"
707,$PANI laporan keuangan Q3 PANI kapan keluar ? Kok blm keluar2,"24 Oct 22, 18:46"
708,"POLL
Holder $PANI apa kabar ?

$BBHI $BBYB","24 Oct 22, 18:31"
709,$PANI @andryhakim PANI kok begini terus ya ? Kayak mau naik ARA tapi di akhir turun tipis lagi ... Gak bisa ya 2 hari ARA gitu kan mantap,"24 Oct 22, 17:49"
710,"Semoga liat ini jadi cukup jelas yah jawaban ""kenapa $PANI jadi di bidang properti"" 👍🏻

*Gak ngajak, cuma sharing info terbuka. Gak usa masuk kalo gak ngerti / gak mau pelajarin.","24 Oct 22, 15:42 · Edited on 24 Oct 22, 15:43"
711,"Bukan perusahaan kaleng-kaleng.

anyway, ini baru sebagian kecil ya project yg dimasukan ke kedua entitas tsb 🤫

$PANI","24 Oct 22, 14:24 · Edited on 24 Oct 22, 15:57"
712,Setelah $ADMR arb siap siap $PANI arb,"24 Oct 22, 13:41"
713,"wkwkwk dah lama gak liat lagi si $PANI, liat chart candle nya, mirip bandar anak magang 🤣🤣🤣, gimana nih bang @VitranEtrama , asuuu tuh bandar nya,,

katanya liat bisnisnya, hold erat erat, asuuuu lama lama nih emiten, perbaikilah candle nya ndarrrrrr, 🤪🤪🤪","24 Oct 22, 11:54"
714,"$BIPI to the moon🔥, udah di kasih tau dari kemarin hari ini apa aja yang menarik. https://cutt.ly/KNrsfyC

semoga $BCAP $PANI $JKON ikutan nyusul.

INGET DI ANALISA LAGI DYOR","24 Oct 22, 11:44"
715,$PANI sepiiii amattt....,"24 Oct 22, 11:04"
716,$PANI kapa lagi lompat tinggi ndar,"24 Oct 22, 10:22"
717,"$PANI wuih PANI sepi ya,,udah ditinggal bandar besar..ritel yg duitnya lumayan mendadak jadi bandar baru🙃","24 Oct 22, 09:45"
718,"$PANI Lot tipis2 jgn sampai kehabisan barang yuk 😎😎👍

$PNIN $BNBR $BUMI","24 Oct 22, 09:18"
